16.1520	0.0001	0.0104	-0.0020	-0.0007	0.0153	-0.0020	-0.0050	0.0088	-0.0039	0.0938	
16.1720	0.0001	0.0104	-0.0020	-0.0008	0.0154	-0.0020	-0.0050	0.0088	-0.0039	0.0940	
16.1920	0.0001	0.0104	-0.0020	-0.0008	0.0155	-0.0020	-0.0051	0.0088	-0.0039	0.0944	
16.2120	0.0001	0.0104	-0.0020	-0.0009	0.0156	-0.0020	-0.0051	0.0087	-0.0039	0.0948	
16.2320	0.0001	0.0104	-0.0020	-0.0009	0.0157	-0.0020	-0.0050	0.0089	-0.0039	0.0952	
16.2500	0.0001	0.0104	-0.0020	-0.0014	0.0159	-0.0020	-0.0049	0.0089	-0.0039	0.0958	
16.2700	0.0001	0.0104	-0.0020	-0.0011	0.0159	-0.0020	-0.0048	0.0087	-0.0039	0.0966	
16.2900	0.0001	0.0104	-0.0020	-0.0004	0.0160	-0.0020	-0.0050	0.0087	-0.0039	0.0969	
16.3100	0.0001	0.0104	-0.0020	-0.0005	0.0161	-0.0020	-0.0050	0.0088	-0.0039	0.0969	
16.3300	0.0001	0.0104	-0.0020	-0.0005	0.0161	-0.0020	-0.0051	0.0088	-0.0039	0.0970	
16.3500	0.0001	0.0104	-0.0020	-0.0005	0.0161	-0.0020	-0.0051	0.0088	-0.0039	0.0971	
16.3700	0.0001	0.0104	-0.0020	-0.0006	0.0161	-0.0020	-0.0049	0.0089	-0.0039	0.0971	
16.3900	0.0001	0.0104	-0.0020	-0.0007	0.0161	-0.0020	-0.0049	0.0087	-0.0039	0.0973	
16.4100	0.0001	0.0104	-0.0020	-0.0007	0.0161	-0.0020	-0.0048	0.0088	-0.0039	0.0972	
16.4300	0.0001	0.0104	-0.0020	-0.0008	0.0160	-0.0020	-0.0049	0.0088	-0.0039	0.0971	
16.4500	0.0001	0.0104	-0.0020	-0.0009	0.0160	-0.0020	-0.0050	0.0088	-0.0039	0.0970	
16.4700	0.0001	0.0104	-0.0020	-0.0009	0.0159	-0.0020	-0.0050	0.0088	-0.0039	0.0968	
16.4900	0.0001	0.0104	-0.0020	-0.0009	0.0159	-0.0020	-0.0050	0.0088	-0.0039	0.0966	
16.5100	0.0001	0.0104	-0.0020	-0.0009	0.0158	-0.0020	-0.0049	0.0089	-0.0039	0.0964	
16.5300	0.0001	0.0104	-0.0020	-0.0009	0.0158	-0.0020	-0.0048	0.0089	-0.0039	0.0962	
16.5500	0.0001	0.0104	-0.0020	-0.0009	0.0157	-0.0020	-0.0049	0.0087	-0.0039	0.0960	
16.5700	0.0001	0.0104	-0.0020	-0.0008	0.0157	-0.0020	-0.0050	0.0087	-0.0039	0.0958	
16.5880	0.0001	0.0104	-0.0020	-0.0011	0.0170	-0.0020	-0.0050	0.0089	-0.0039	0.0957	
16.6080	0.0001	0.0104	-0.0020	-0.0008	0.0162	-0.0020	-0.0050	0.0087	-0.0039	0.0954	
16.6280	0.0001	0.0104	-0.0020	-0.0008	0.0160	-0.0020	-0.0048	0.0090	-0.0039	0.0949	
16.6480	0.0001	0.0104	-0.0020	-0.0007	0.0157	-0.0020	-0.0046	0.0091	-0.0039	0.0944	
16.6680	0.0001	0.0104	-0.0020	-0.0006	0.0155	-0.0020	-0.0047	0.0087	-0.0039	0.0937	
16.6880	0.0001	0.0104	-0.0020	-0.0006	0.0153	-0.0020	-0.0049	0.0087	-0.0039	0.0930	
